season,reason,context,source_url
7,multi_bot_table,Pre-qualifying,https://en.wikipedia.org/w/index.php?title=BattleBots_season_7&action=raw
7,multi_bot_table,Semifinals,https://en.wikipedia.org/w/index.php?title=BattleBots_season_7&action=raw
8,duplicate_same_fight,episode=11; date=2018-08-03; stage=F; fight=Lock-Jaw vs. Lucky; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=11; date=2018-08-03; stage=QF; fight=Gigabyte vs. Double Dutch; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=11; date=2018-08-03; stage=QF; fight=Lock-Jaw vs. Kraken; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=11; date=2018-08-03; stage=QF; fight=Lucky vs. Gemini; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=11; date=2018-08-03; stage=QF; fight=Valkyrie vs. Hypothermia; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=11; date=2018-08-03; stage=SF; fight=Lock-Jaw vs. Valkyrie; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=11; date=2018-08-03; stage=SF; fight=Lucky vs. Gigabyte; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=18; date=2018-09-21; stage=QF; fight=Lock-Jaw vs. Bombshell; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=18; date=2018-09-21; stage=QF; fight=Minotaur vs. Monsoon; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=18; date=2018-09-21; stage=R16; fight=Minotaur vs. Witch Doctor; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=18; date=2018-09-21; stage=R16; fight=SawBlaze vs. Monsoon; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=18; date=2018-09-21; stage=R16; fight=Son of Whyachi vs. Lock-Jaw; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=18; date=2018-09-21; stage=R16; fight=Tombstone vs. Bombshell; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=19; date=2018-09-28; stage=QF; fight=Bite Force vs. ROTATOR; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=19; date=2018-09-28; stage=QF; fight=Bronco vs. Whiplash; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=19; date=2018-09-28; stage=qualifier; fight=Bite Force vs. HUGE; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=19; date=2018-09-28; stage=qualifier; fight=Bronco vs. WAR Hawk; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=19; date=2018-09-28; stage=qualifier; fight=Ice Wave vs. ROTATOR; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=19; date=2018-09-28; stage=qualifier; fight=Yeti vs. Whiplash; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=20; date=2018-10-05; stage=F; fight=Bite Force vs. Whiplash; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=20; date=2018-10-05; stage=F; fight=Minotaur vs. Bite Force; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,duplicate_same_fight,episode=20; date=2018-10-05; stage=F; fight=Minotaur vs. Lock-Jaw; source=prose,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,exhibition,Tombstone vs. Tantrum,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,exhibition,Tombstone vs. Tantrum (exhibition),https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
8,multi_bot,'''Last Chance Rumble:''' Brutus vs. WAR Hawk vs. End Game,https://en.wikipedia.org/w/index.php?title=BattleBots_season_8&action=raw
